frame,time_sec,knee_angle_r,knee_angle_l,hip_angle_r,hip_angle_l,ankle_angle_r,ankle_angle_l,body_lean,stride_width,step_count
187,3.74,175.47819211114412,178.3886246393727,173.79111748748412,173.32371998467178,166.35815105126665,175.85694790424282,3.3164236044918196,0.01038271188735962,1
188,3.76,176.91737896728398,178.7409813704487,173.32354681313532,173.24589257139877,168.7327196123566,176.64736014770344,3.3836252595169554,0.010193884372711182,1
189,3.78,178.98207877227975,178.45551058157807,172.60794413306942,173.216224559756,164.59289065057087,175.07001653100806,3.4554410911526943,0.009938269853591919,1
190,3.8,179.39400744522683,177.6601420048831,172.17030066736478,173.12216248533758,164.6312919015456,172.29669771895055,3.5099415591457217,0.010636091232299805,1
191,3.82,179.72791313417832,178.58880618269947,171.71275018135574,172.476007410077,166.67779447351217,170.19260004677497,3.639702037770915,0.010985106229782104,1
192,3.84,179.17406584159704,179.61927144963647,171.48662188413712,171.38737682110042,168.7958940926649,169.94710950520138,3.8002370157674346,0.011497259140014648,1
193,3.86,179.3283376295621,176.79659133130343,171.22610981255875,169.67179039441575,173.2688087034014,173.60843851861256,3.9307645006353034,0.01217031478881836,2
194,3.88,179.5768270436924,176.25246150020988,170.87396618799025,169.5224530439663,174.673438030887,174.3280436449649,4.068123808535541,0.012399792671203613,2
195,3.9,179.9138589502961,178.043124363822,170.74430183669682,169.99943561103387,174.35551342276767,172.39790454355082,4.157356882560256,0.012781023979187012,2
196,3.92,179.77977685761007,179.0405510730589,171.05522042405403,170.38821743119868,171.54782623492153,172.44297216969267,4.226978620730051,0.012732446193695068,2
197,3.94,178.88279902343035,179.65278978081778,170.8580251747816,170.40209839143265,168.46287846025527,175.0775824027521,4.324615568170269,0.012842059135437012,3
198,3.96,179.17090618534723,177.759712159847,170.83027228773767,170.54406077426,168.79578863634612,179.4335320286533,4.6465500631373615,0.012964785099029541,3
199,3.98,179.62433551011506,176.6265396129606,171.25095731165393,170.90441729979426,171.83139845099785,177.0780419488067,4.89337751693761,0.012757152318954468,3
200,4.0,179.42883178095227,177.66944484111303,171.11525564271963,171.50545847991825,170.15806899308345,177.4441842654044,5.208666969679256,0.012823909521102905,3
201,4.02,179.22915034945768,176.67688257662695,170.36885598761933,171.38911172316008,170.14330138458294,175.018095836099,5.66917241946952,0.012802064418792725,3
202,4.04,178.86781324332284,177.51785069572588,169.9211027453752,171.3015684998733,170.17834287438032,175.33591079477284,5.918569428307084,0.01298457384109497,3
203,4.06,178.3982966732845,179.39233172490765,169.36098846165822,171.64720649231208,169.38933034215862,179.7672687086952,6.214998047107768,0.013450801372528076,3
204,4.08,178.083719430894,178.51625834718078,168.83150076586102,172.3028111015848,168.76196378668607,179.00603888947907,6.609573071476584,0.013572722673416138,3
205,4.1,177.86825269926845,177.69585431385605,168.5452910589795,172.38491001780721,167.957456392406,177.45593366011627,6.712220598941961,0.013627409934997559,3
206,4.12,177.73547762200513,177.71628449743702,168.59427170114986,172.47375355880476,167.04908102762698,176.89771750939067,6.693349285428813,0.013651371002197266,3
207,4.14,177.7139616460572,168.2915662137954,168.3273020158209,173.50316494333396,166.55699178007148,158.5896482169731,6.998980461859376,0.015560150146484375,3
208,4.16,177.7587470878382,170.15285745661205,168.43353440467226,173.68771268021376,166.4448170248459,163.74873537275556,7.041132051044053,0.015292495489120483,4
209,4.18,178.06444950468614,172.99385182478198,168.55940306203226,174.3936259150572,166.46280588667767,169.0696285521342,7.382549986656947,0.01512610912322998,4
210,4.2,178.68626026494346,174.7437911621414,168.90637298913595,174.72557263840335,168.27464758484558,171.56495878609184,7.54445681188793,0.015085071325302124,4
211,4.22,179.78728513201963,177.40443572689168,169.3565234323409,174.43554311866325,169.66707062602165,174.8444751787394,7.585449889081028,0.015223771333694458,4
212,4.24,179.12141440804186,179.18824915733438,169.9212709490676,174.03975134898852,171.6686141818722,177.43490511991664,7.51816777249778,0.015201479196548462,4
213,4.26,178.4538491457431,173.15384156156279,170.36299705354216,173.9874980175157,172.27603223840242,168.03151311253006,7.4503222801805835,0.016613036394119263,4
214,4.28,178.3734657871619,174.167837814449,170.38862279665636,173.8361380138085,173.1936839202763,172.99182496519848,7.416072321262719,0.01648542284965515,5
